Code,Name,County,PreK Region,Total Served by All Programs (unduplicated) 3s & 4s,Total Full Day Seats (unduplicated) 3s & 4s,Total Half Day Seats (unduplicated)  3s & 4s,Total UPK              (Half and Full Day),Half-Day UPK 3-Yr.-Olds,Half-Day UPK 4-Yr.-Olds,Total Half-Day UPK,Full-Day UPK 3-Yr.-Olds,Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,Total Conversions (other grants),Full-Day UPK 4-Yr.-Olds,Total Full-Day UPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,New Full-Day Seats,Total Seats Served by Federal SUFDPK,New Full-Day Seats,Conversion Seats,Total Seats Served by SUFDPK,Total TPK              (Half and Full Day),Half-Day TPK 3-Yr.-Olds,Half-Day TPK 4-Yr.-Olds,Total Half-Day TPK,Full-Day TPK 3-Yr.-Olds,Full-Day TPK 4-Yr.-Olds,Total Full-Day TPK,Students Served in Half Day Slots,Students Served in Full Day Slots,2021-22 PROXY FOR UNSERVED FOUR-YEAR-OLDS,Percentage Served         2021-22
030601,SUSQUEHANNA VA,BROOME,Southern Tier,60 ,60 ,0 ,24 ,0 ,0 ,0 ,0 ,24 ,24 ,0 ,36 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,60 ,97,62%
030701,CHENANGO VALLE,BROOME,Southern Tier,86 ,59 ,27 ,86 ,0 ,27 ,27 ,0 ,59 ,59 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27 ,59 ,96,90%
031101,MAINE ENDWELL ,BROOME,Southern Tier,94 ,93 ,1 ,30 ,0 ,1 ,1 ,0 ,29 ,29 ,0 ,64 ,64 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,93 ,186,51%
031301,DEPOSIT       ,DELAWARE,Southern Tier,20 ,0 ,20 ,20 ,0 ,20 ,20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,21,95%
031401,WHITNEY POINT ,BROOME,Southern Tier,157 ,157 ,0 ,140 ,0 ,0 ,0 ,67 ,73 ,140 ,57 ,0 ,0 ,17 ,57 ,74 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,90 ,74,100%
031501,UNION-ENDICOTT,BROOME,Southern Tier,133 ,0 ,133 ,133 ,0 ,133 ,133 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,133 ,0 ,226,59%
031502,JOHNSON   CITY,BROOME,Southern Tier,105 ,88 ,17 ,105 ,0 ,17 ,17 ,0 ,88 ,88 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17 ,88 ,164,64%
031601,VESTAL        ,BROOME,Southern Tier,132 ,106 ,26 ,63 ,0 ,26 ,26 ,0 ,37 ,37 ,0 ,69 ,69 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26 ,106 ,227,58%
031701,WINDSOR       ,BROOME,Southern Tier,119 ,119 ,0 ,119 ,0 ,0 ,0 ,36 ,83 ,119 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83 ,83,100%
040204,WEST VALLEY   ,CATTARAUGUS,Western New York,12 ,12 ,0 ,12 ,0 ,0 ,0 ,0 ,12 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,14,86%
040302,ALLEGANY-LIMES,CATTARAUGUS,Western New York,46 ,46 ,0 ,46 ,0 ,0 ,0 ,0 ,46 ,46 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,46 ,54,85%
040901,ELLICOTTVILLE ,CATTARAUGUS,Western New York,24 ,0 ,24 ,24 ,0 ,24 ,24 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,24 ,0 ,24,100%
041101,FRANKLINVILLE ,CATTARAUGUS,Western New York,52 ,52 ,0 ,45 ,0 ,0 ,0 ,12 ,33 ,45 ,29 ,0 ,0 ,7 ,29 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,33,100%
041401,HINSDALE      ,CATTARAUGUS,Western New York,13 ,13 ,0 ,13 ,0 ,0 ,0 ,0 ,13 ,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,15,87%
042302,CATTARAUGUS-LI,CATTARAUGUS,Western New York,53 ,53 ,0 ,53 ,0 ,0 ,0 ,0 ,53 ,53 ,40 ,0 ,0 ,0 ,40 ,40 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53 ,48,100%
042400,OLEAN         ,CATTARAUGUS,Western New York,107 ,107 ,0 ,107 ,0 ,0 ,0 ,0 ,107 ,107 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,107 ,123,87%
042801,GOWANDA       ,CATTARAUGUS,Western New York,35 ,35 ,0 ,35 ,0 ,0 ,0 ,0 ,35 ,35 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35 ,58,60%
042901,PORTVILLE     ,CATTARAUGUS,Western New York,47 ,0 ,47 ,47 ,0 ,47 ,47 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,47 ,0 ,46,100%
043001,RANDOLPH      ,CATTARAUGUS,Western New York,39 ,39 ,0 ,39 ,0 ,0 ,0 ,0 ,39 ,39 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,39 ,43,91%
